Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
76471;F08000025;BERTRAN AMBROS, ROSA MARIA;PUIG-REIG;SANT JORDI;08692;CARRER;11;938290385;BAIX BERGUEDA
76472;F08000032;ABRIL GARCIA, MARIA;ARENYS DE MAR;BISBE POL;08350;RIERA;72;937923301;ARENYS DE MAR
76473;F08000040;RIGOLA GARROFE, DOLÇA;ARENYS DE MAR;ESGLESIA;08350;PLAÇA;3;937920237;ARENYS DE MAR
76474;F08000057;MIAS NAVARRO, MIREIA;ARENYS DE MUNT;SANT MARTI;08358;RAMBLA;56;937938201;ARENYS DE MAR
76475;F08000064;GUILLEN VIDAL, M NURIA;ARGENTONA;GRAN;08310;CARRER;22;937971262;ARGENTONA
76476;F08000071;BOIXAREU CARRERA,M.ANGELS;ARTES;ROCAFORT;08271;CARRER;26;938305265;ARTES*
76477;F08000089;MIMO CALLIS, LLUIS;AIGUAFREDA;RIBES;08591;CARRETERA;25;938440809;GARRIGA,LA*
76478;F08000096;JOFRESA PRATS, E/PORTILLO SAAVEDRA, P;BADALONA;PRIM;08911;CARRER;156;933840455;BADALONA 2
76479;F08000106;JIMENEZ GONZALEZ/GONZALEZ NUÑEZ;BADALONA;CANONGE BARANERA;08911;CARRER;60;933840453;BADALONA 2
76480;F08000113;AGUILAR CALVO, ADELA;BADALONA;FRANCESC LAYRET;08911;CARRER;83;933895208;BADALONA 2
76481;F08000120;SALLA CLAROS, JOSEPA;BADALONA;MARQUES DE SANT MORI;08913;AVINGUDA;16 bis;933887301;BADALONA 6
76482;F08000138;FAURA MONGUIO,MONTSERRAT;BADALONA;ALFONS XIII;08915;AVINGUDA;256;933870343;BADALONA 7-B (LA SALUT)
76483;F08000145;BOSCASA SANCHEZ-PASCUALA, EVA;BADALONA;ALFONS XIII;08913;AVINGUDA;615;933873194;BADALONA 5
76484;F08000152;PRAT MONGUIO, SALOME;BADALONA;PEP VENTURA;08912;PLAÇA;3;933872193;BADALONA 3
76485;F08000160;PRAT MARTORI, ANNA;BADALONA;FRANCESC MACIA;08912;CARRER;94-96;933870647;BADALONA 3
76486;F08000177;BERNAT BARRIGA, M.MONTSERRAT;BADALONA;CONQUESTA;08912;CARRER;53;933842906;BADALONA 3
76487;F08000184;VALERO BARLABE, FRANCESC X.;BADALONA;GUIFRE;08912;CARRER;184;933830657;BADALONA 3
76488;F08000191;GARCIA-VELA GRACE, MARTA;BADALONA;PIUS XII;08913;CARRER;1-7;933876154;BADALONA 6
76489;F08000201;SEGARRA DOLSET, SILVIA;BADALONA;ALFONS  XIII;08918;AVINGUDA;555;933872749;BADALONA 5
76490;F08000219;SERENTILL TOST, SALVADOR;BADALONA;MAR;08911;CARRER;23;933841233;BADALONA 2
76491;F08000226;TORRAS SURROCA, SARA M;BADALONA;MAR;08911;CARRER;76;933845614;BADALONA 2
76492;F08000233;FERRER FONT,M/ CLAPES ARQUER, A.M.;BADALONA;MARTI PUJOL;08912;AVINGUDA;133;933844806;BADALONA 2
76493;F08000240;IGLESIAS LLAGOSTERA, ALBERT;BALSARENY;BERGA;08660;CARRETERA;2;938396128;NAVAS/BALSARENY*
76494;F08000258;COSP BOIXADER, MARIA;BERGA;DE LA PAU;08600;PASSEIG;55;938210125;BERGA
76495;F08000265;VILA CALONGE MA. CRISTINA;BERGA;CIUTAT;08600;CARRER;41;938210518;BERGA
76496;F08000272;SAZ CARAZO, NEUS;BERGA;DEL CANAL INDUSTRIAL;08600;AVINGUDA;14-18;938210135;BERGA
76497;F08000280;ALVAREZ DE LA CAMPA FAYOS,ALVAR;BERGA;GRAN VIA;08600;CARRER;28;938210402;BERGA
76498;F08000297;FONT SABALA, MERITXELL;CALAF;SANTA CALAMANDA;08280;PASSEIG;7;938698506;CALAF*
76499;F08000307;CODINA SAMPERA, SALVADOR;CALDES DE MONTBUI;FORN;08140;CARRER;7;938650097;CALDES DE MONTBUI*
76500;F08000314;TIBAU MAYNOU,RAFEL;CALDES DE MONTBUI;PI I MARGALL;08140;AVINGUDA;36-38;938650146;CALDES DE MONTBUI*
76501;F08000321;AREALES VERA, CESAREO;CALDES D'ESTRAC;LA RIERA;08393;CARRER;20;937912732;SANT ANDREU DE LLAVANERES
76502;F08000353;NOE NADAL, AGUSTI;CALELLA;ESGLESIA;08370;CARRER;116;937690791;CALELLA
76503;F08000360;MARTINEZ ALVAREZ, EMILIO;CANET DE MAR;GAVARRA;08360;RIERA;23;937940045;CANET DE MAR
76504;F08000378;CODINA SABATER, MARTA;CAPELLADES;VERDAGUER;08786;PLAÇA;3;938010082;CAPELLADES
76505;F08000385;AUQUE REGAÑO, BERNAT;CARDEDEU;SANT ANTONI;08440;CARRER;11;938461071;CARDEDEU
76506;F08000392;FORES JOVER, MARIA CINTA;CARDEDEU;DIAGONAL FIVALLER;08440;CARRER;8;938461169;CARDEDEU
76507;F08000402;SALA  ESTEBAN, JOSEP M.;CARDONA;DEL CAMBRAS;08261;CARRER;5;938691165;CARDONA*
